,TIDE,IFNG,MSI_Score,CD274,CD8,Dysfunction,Exclusion,MDSC_Exclusion,CAF_Exclusion,TAM_Exclusion,CTL,Average_Exclusion
PD1_1,0.0806176321799638,1.9457629945928625,0.855305635420596,2.1214926223546056,2.1399148125893026,0.0806176321799638,-2.424005935161289,-0.1389257522586771,-0.1573094294487718,-0.0698472903082532,1.7048815093250684,-0.1220274906719007
PD1_4,0.0869202652581849,1.6349725592529964,0.7517777223441575,1.3024637060777755,2.24507443272781,0.0869202652581849,-2.214009884218308,-0.133151006122344,-0.1176953134998775,-0.0884766435917395,1.5841841964376904,-0.11310765440465366
PD1_5,2.6958479002472093,-2.0908517003103824,0.0583324490781038,-1.5033977758607149,-2.109754571294229,0.3108729842197421,2.6958479002472093,0.1801472076788792,0.1848465964088324,0.0389791480497213,-1.7417077462865902,0.13465765071247762
PD1_6,1.0906053619206046,1.8108725188804748,0.6423972597121909,1.564886641062731,0.6992470786335588,1.0906053619206046,-2.0326769897697297,-0.2043066009728772,-0.0342607191038339,-0.0667532471572533,0.6488672706179074,-0.10177352241132147
PD1_7,0.4378429902660607,1.8295927713625504,0.8636937016105268,1.6246355590738486,1.5495871495458051,0.4378429902660607,-1.920100429334812,-0.0968118473095443,-0.1396465510141567,-0.0576438181683977,1.3027363200102289,-0.09803407216403291
PD1_8,3.1080360646910608,2.972311644654124,0.3782224349568726,2.077220339933534,4.160404068423508,3.1080360646910608,-3.425962906014111,-0.2861630959932041,-0.1067490767033537,-0.1252233462894155,3.908453747445928,-0.1727118396619911
PD1_9,0.6153689238743627,-2.5908363951304496,0.5176253791748472,-2.636378497833041,-1.528746450812192,-1.1172624420857675,0.6153689238743627,0.0755857368026001,-0.0363313812473242,0.0601030411039375,-1.7669559269038484,0.0331191322197378
PD1_10,1.0919433953922508,-0.2518428673324941,0.6366960669668972,-1.620796034826157,-1.4588148545662871,-0.6537373969997725,1.0919433953922508,0.0910292451086915,0.0502252181452557,0.0255132152846365,-1.353852250779142,0.055589226179527905
PD1_11,2.691055625406368,-1.2238458086329886,0.1358370372430188,-1.9022382298633775,-1.2729923790304296,-0.8407958205563668,2.691055625406368,0.1795113573554853,0.1713612634922485,0.0468215585114989,-1.0584251221223422,0.13256472645307757
PD1_12,0.1667900163490953,-1.1506129904626892,0.66617953128206,-1.380268327216378,-1.384984080376182,-0.9988671574959032,0.1667900163490953,0.1005107092698223,-0.071383663141149,0.0089793190406054,-1.357152650157358,0.0127021217230929
PD1_13,0.896509443524097,1.8860649416453343,0.4161868351474102,1.0602609860846255,0.5908002035845933,0.896509443524097,1.0153872633820669,0.090764416971438,0.0659115355958236,-0.0089967488976008,1.1055270736584717,0.04922640122322027
PD1_14,-0.1453875761340508,-0.3465323376354517,0.8456493937785112,0.2283746861121618,-0.1387710876662381,-1.3826655268093249,-0.1453875761340508,0.1065101719662363,-0.1787411676851987,0.0503597866576264,-0.7569365481492971,-0.007290403020445336
PD1_16,1.1812198353765042,-1.6349104573895936,0.4326899537310639,-1.1297625572542764,-1.166005800272417,-1.7744179897331582,1.1812198353765042,0.138651726496723,-0.0719399583629056,0.1165618047508035,-1.481098033893711,0.06109119096154029
PD1_17,0.8343183738334972,-0.5319133712871196,0.1790991402133531,-0.1042360464496527,-1.0702301614078158,-0.9440653555506212,0.8343183738334972,0.0533157468917821,0.0320410604584108,0.0317407709999912,-0.9153127614915328,0.039032526116728035
PD1_19,1.001308165704612,0.3802738051881634,0.3462768919678625,0.5440702041947469,1.454015174834363,1.001308165704612,-3.16297469346746,-0.1616712173403371,-0.2993127373511033,-0.0014552581208527,0.7666649516074082,-0.15414640427076434
PD1_20,0.9052955204322628,2.3165278204837714,0.7812448952467284,1.5943606474200096,2.0451039379911977,0.9052955204322628,-0.6388488567708217,-0.0731466167313988,0.0397198601260117,-0.0756120224588964,2.0347295877138927,-0.0363462596880945
PD1_21,0.8861327186834523,-0.1141110708827027,0.5839997061181709,0.6305847408308316,-0.7992213626439246,0.3215579433337559,0.8861327186834523,0.0643001546662581,0.1197607927923711,-0.0456836789098526,-0.5153583148212694,0.04612575618292555
PD1_24,0.1517780494033744,-0.8678422973808255,0.6350329520765484,-2.584742539590271,-1.250707459739345,-0.786271000400386,0.1517780494033744,0.0483140538152547,-0.0599346209350394,0.0369273655064985,-1.159785388910566,0.008435599462237932
PD1_25,1.4779423607254494,1.5553602137551594,0.4979002050948727,1.181444957321299,1.5712946372816583,1.4779423607254494,-1.1865645515162917,-0.0392317700133212,-0.0816700028047529,-0.0602273155036372,1.539594928224371,-0.06037636277390376
PD1_26,0.5675965374816953,-0.4844107850208269,0.6667138940783607,-0.688223656144745,-0.7368817467253974,-1.6068336631069176,0.5675965374816953,0.05980260214439,-0.0108151502124705,0.0387925860175952,-0.6017452238448712,0.02926001264983823
